date,cpi,policy_rate,neer,money_supply,inflation_target,type_of_monetary_policy
28/2/2014,1.96,2.25,102.79,498.52,inrange,tight
31/3/2014,2.1,2,103.34,499.12,inrange,tight
30/4/2014,2.46,2,103.26,499.77,inrange,tight
31/5/2014,2.61,2,102.25,491.77,inrange,tight
30/6/2014,2.35,2,102.64,496.84,inrange,tight
31/7/2014,2.16,2,103.73,499.74,inrange,tight
31/8/2014,2.09,2,104.57,505.06,inrange,tight
30/9/2014,1.75,2,105.52,499.36,inrange,tight
31/10/2014,1.48,2,105.77,500.44,inrange,tight
30/11/2014,1.26,2,106.89,503.72,inrange,tight
31/12/2014,0.6,2,108.53,510.76,outrrange,tight
31/1/2015,-0.4,2,110.33,517.66,outrrange,tight
28/2/2015,-0.53,2,111.71,528.52,outrrange,tight
31/3/2015,-0.56,1.75,112.84,528,outrrange,ease
30/4/2015,-1.04,1.5,112.23,519.66,outrrange,ease
31/5/2015,-1.27,1.5,108.49,510.31,outrrange,ease
30/6/2015,-1.06,1.5,108.99,506.26,outrrange,ease
31/7/2015,-1.05,1.5,108.11,488.05,outrrange,ease
31/8/2015,-1.19,1.5,106.38,475.13,outrrange,ease
30/9/2015,-1.07,1.5,105.29,469.44,outrrange,ease
31/10/2015,-0.77,1.5,105.4,482.83,outrrange,ease
30/11/2015,-0.98,1.5,106.34,484.33,outrrange,ease
31/12/2015,-0.86,1.5,106.04,487.27,outrrange,ease
31/1/2016,-0.54,1.5,106.54,494.29,outrrange,ease
29/2/2016,-0.5,1.5,106.95,498.05,outrrange,ease
31/3/2016,-0.46,1.5,106.48,507.49,outrrange,ease
30/4/2016,0.06,1.5,105.3,512.53,outrrange,ease
31/5/2016,0.46,1.5,104.98,498.85,outrrange,ease
30/6/2016,0.39,1.5,104.99,507.61,outrrange,ease
31/7/2016,0.11,1.5,105.63,511.57,outrrange,ease
31/8/2016,0.29,1.5,105.74,513.14,outrrange,ease
30/9/2016,0.38,1.5,106.07,513.29,outrrange,ease
31/10/2016,0.34,1.5,105.99,513.29,outrrange,ease
30/11/2016,0.61,1.5,107.14,507.13,outrrange,ease
31/12/2016,1.12,1.5,107.83,510.19,inrange,ease
31/1/2017,1.55,1.5,108.3,522.1,inrange,ease
28/2/2017,1.45,1.5,108.7,528.02,inrange,ease
31/3/2017,0.76,1.5,108.97,536.17,outrrange,ease
30/4/2017,0.38,1.5,109.61,536.13,outrrange,ease
31/5/2017,-0.04,1.5,109.48,545.42,outrrange,ease
30/6/2017,-0.05,1.5,110.3,548.64,outrrange,ease
31/7/2017,0.16,1.5,110.89,558.27,outrrange,ease
31/8/2017,0.32,1.5,111.37,560.61,outrrange,ease
30/9/2017,0.86,1.5,111.18,558.99,outrrange,ease
31/10/2017,0.86,1.5,111.98,564.14,outrrange,ease
30/11/2017,0.98,1.5,113.12,580.5,outrrange,ease
31/12/2017,0.78,1.5,113.47,589.64,outrrange,ease
31/1/2018,0.68,1.5,114.14,614.71,outrrange,ease
28/2/2018,0.42,1.5,114.75,614.7,outrrange,ease
31/3/2018,0.79,1.5,115.45,626.57,outrrange,ease
30/4/2018,1.07,1.5,115.84,619.78,inrange,ease
31/5/2018,1.49,1.5,115.37,610.1,inrange,ease
30/6/2018,1.39,1.5,114.53,592.34,inrange,ease
31/7/2018,1.47,1.5,113.26,588.32,inrange,ease
31/8/2018,1.62,1.5,115.15,593.26,inrange,ease
30/9/2018,1.33,1.5,117.28,604.1,inrange,ease
31/10/2018,1.24,1.5,117.32,596.03,inrange,ease
30/11/2018,0.94,1.5,116.57,602.38,outrrange,ease
31/12/2018,0.35,1.75,117.17,622.05,outrrange,ease
31/1/2019,0.26,1.75,119.11,643.99,outrrange,ease
28/2/2019,0.73,1.75,121.02,642.02,outrrange,ease
31/3/2019,1.24,1.75,119.68,638.72,inrange,ease
30/4/2019,1.23,1.75,119.41,638.86,inrange,ease
31/5/2019,1.15,1.75,120.52,643.11,inrange,ease
30/6/2019,0.87,1.75,122.61,658.85,outrrange,ease
31/7/2019,0.98,1.75,123.59,658.16,outrrange,ease
31/8/2019,0.52,1.5,125.18,664.44,outrrange,ease
30/9/2019,0.32,1.5,126.22,668.06,outrrange,ease
31/10/2019,0.11,1.5,126.85,682.35,outrrange,ease
30/11/2019,0.2,1.25,126.92,685.13,outrrange,ease
31/12/2019,0.88,1.25,126.74,700.4,outrrange,ease
31/1/2020,1.06,1.25,125.14,668.54,inrange,ease
29/2/2020,0.74,1,123.02,664.01,outrrange,ease
31/3/2020,-0.54,0.75,121.71,667.47,outrrange,ease
30/4/2020,-2.99,0.75,120.88,685.97,outrrange,ease
31/5/2020,-3.44,0.5,122.56,706.61,outrrange,ease
30/6/2020,-1.58,0.5,124.21,726.46,outrrange,ease
31/7/2020,-0.98,0.5,122.55,721.48,outrrange,ease
31/8/2020,-0.5,0.5,122.21,724,outrrange,ease
30/9/2020,-0.7,0.5,121.13,709.89,outrrange,ease
31/10/2020,-0.5,0.5,121.23,722.2,outrrange,ease
30/11/2020,-0.41,0.5,123.03,751.91,outrrange,ease
31/12/2020,-0.27,0.5,123.17,765.12,outrrange,ease
31/1/2021,-0.34,0.5,123.03,765.73,outrrange,ease
28/2/2021,-1.17,0.5,123.48,755.91,outrrange,ease
31/3/2021,-0.08,0.5,121.86,739.58,outrrange,ease
30/4/2021,3.41,0.5,119.75,745.35,outrrange,ease
31/5/2021,2.44,0.5,119.17,746.23,inrange,ease
30/6/2021,1.25,0.5,118.91,720.8,inrange,ease
31/7/2021,0.45,0.5,115.8,706.81,outrrange,ease
31/8/2021,-0.02,0.5,114.27,724.77,outrrange,ease
30/9/2021,1.68,0.5,114.35,698.22,inrange,ease
31/10/2021,2.38,0.5,113.69,711.33,inrange,ease
30/11/2021,2.71,0.5,115.54,706.18,inrange,ease
31/12/2021,2.17,0.5,114.41,724.57,inrange,ease
31/1/2022,3.23,0.5,115.54,724.4,outrrange,ease
28/2/2022,5.28,0.5,117.56,742.43,outrrange,ease
31/3/2022,5.73,0.5,117.14,738.17,outrrange,ease
30/4/2022,4.65,0.5,116.38,718.32,outrrange,ease
31/5/2022,7.1,0.5,116.33,718.74,outrrange,ease
30/6/2022,7.66,0.5,115.26,695.21,outrrange,ease
31/7/2022,7.61,0.5,112.66,673.95,outrrange,ease
31/8/2022,7.86,0.75,114.34,672.19,outrrange,ease
30/9/2022,6.41,1,113.64,649.69,outrrange,ease
31/10/2022,5.98,1,112.95,649.33,outrrange,ease
30/11/2022,5.55,1,115.92,706.96,outrrange,ease
31/12/2022,5.89,1.25,118.42,721.26,outrrange,ease
31/1/2023,5.02,1.5,121.91,760.44,outrrange,ease
28/2/2023,3.79,1.5,119.92,713.86,outrrange,ease
31/3/2023,2.83,1.75,119.2,739.6,inrange,ease
30/4/2023,2.67,1.75,119.52,738.3,inrange,ease
31/5/2023,0.53,2,120.63,721.75,outrrange,tight
30/6/2023,0.23,2,119.32,707.34,outrrange,tight
31/7/2023,0.38,2,120.21,730.53,outrrange,tight
31/8/2023,0.88,2.25,120.44,711.42,outrrange,tight
30/9/2023,0.3,2.5,118.91,684.64,outrrange,tight
31/10/2023,-0.31,2.5,117.73,696.73,outrrange,tight
30/11/2023,-0.44,2.5,119.82,718.31,outrrange,tight
31/12/2023,-0.83,2.5,120.09,741.16,outrrange,tight
31/1/2024,-1.11,2.5,119.73,721.62,outrrange,tight
29/2/2024,-0.77,2.5,118.51,718.27,outrrange,tight
31/3/2024,-0.47,2.5,118.11,711.58,outrrange,tight
30/4/2024,0.19,2.5,116.8,695.69,outrrange,tight
31/5/2024,1.54,2.5,117.21,702.68,inrange,tight
30/6/2024,1.54,2.5,117.55,702.68,inrange,tight
